komoditas,delta_pct,biaya_juta,volume_ton,n_rute
Beras,50,751338.1,1297678.0,29
Beras,60,926298.1,1557214.0,30
Beras,70,1102780.7,1816750.0,31
Beras,80,1283366.3,2076285.0,32
Beras,90,1469476.2,2335821.0,33
Beras,100,1665427.8,2595357.0,33
Jagung,50,19991.7,51135.0,12
Jagung,60,24389.8,61362.0,12
Jagung,70,28787.9,71589.0,12
Jagung,80,33185.9,81816.0,12
Jagung,90,37584.0,92043.0,12
Jagung,100,41982.1,102270.0,12
Bawang Merah,50,72220.4,128750.0,27
Bawang Merah,60,86729.9,154500.0,27
Bawang Merah,70,103325.7,180251.0,29
Bawang Merah,80,120273.9,206001.0,30
Bawang Merah,90,137251.1,231751.0,31
Bawang Merah,100,154253.1,257501.0,31
Cabai Besar,50,87.7,951.0,2
Cabai Besar,60,109.1,1141.0,2
Cabai Besar,70,130.5,1331.0,2
Cabai Besar,80,151.9,1521.0,2
Cabai Besar,90,173.3,1711.0,2
Cabai Besar,100,194.7,1901.0,2
Kentang,50,11066.9,17580.0,38
Kentang,60,13544.2,21096.0,38
Kentang,70,16021.5,24612.0,38
Kentang,80,18622.6,28128.0,41
Kentang,90,21433.4,31644.0,41
Kentang,100,24249.3,35160.0,42
