tanggal,kabkota,pasar,komoditas,harga
2026-08-16,Kota Surabaya,Pasar Genteng,bawang,30000
2026-08-17,Kota Surabaya,Pasar Genteng,bawang,30000
2026-08-18,Kota Surabaya,Pasar Genteng,bawang,30000
2026-08-19,Kota Surabaya,Pasar Genteng,bawang,30000
2026-08-20,Kota Surabaya,Pasar Genteng,bawang,30000
2026-08-21,Kota Surabaya,Pasar Genteng,bawang,25000
2026-08-22,Kota Surabaya,Pasar Genteng,bawang,25000
2026-08-16,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-17,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-18,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-19,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-20,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-21,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-22,Kota Surabaya,Pasar Keputran,bawang,38000
2026-08-16,Kota Surabaya,Pasar Pucang Anom,bawang,35000
2026-08-17,Kota Surabaya,Pasar Pucang Anom,bawang,35000
2026-08-18,Kota Surabaya,Pasar Pucang Anom,bawang,35000
2026-08-19,Kota Surabaya,Pasar Pucang Anom,bawang,30000
2026-08-20,Kota Surabaya,Pasar Pucang Anom,bawang,30000
2026-08-21,Kota Surabaya,Pasar Pucang Anom,bawang,30000
2026-08-22,Kota Surabaya,Pasar Pucang Anom,bawang,35000
2026-08-16,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-17,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-18,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-19,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-20,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-21,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-22,Kota Surabaya,Pasar Soponyono,bawang,28000
2026-08-16,Kota Surabaya,Pasar Tambahrejo,bawang,32000
2026-08-17,Kota Surabaya,Pasar Tambahrejo,bawang,28000
2026-08-18,Kota Surabaya,Pasar Tambahrejo,bawang,30000
2026-08-19,Kota Surabaya,Pasar Tambahrejo,bawang,30000
2026-08-20,Kota Surabaya,Pasar Tambahrejo,bawang,32000
2026-08-21,Kota Surabaya,Pasar Tambahrejo,bawang,30000
2026-08-22,Kota Surabaya,Pasar Tambahrejo,bawang,28000
2026-08-16,Kota Surabaya,Pasar Wonokromo,bawang,30000
2026-08-17,Kota Surabaya,Pasar Wonokromo,bawang,30000
2026-08-18,Kota Surabaya,Pasar Wonokromo,bawang,30000
2026-08-19,Kota Surabaya,Pasar Wonokromo,bawang,28000
