tanggal,kabkota,pasar,komoditas,harga
2026-08-16,Kota Surabaya,Pasar Genteng,cabai_rawit,45000
2026-08-17,Kota Surabaya,Pasar Genteng,cabai_rawit,45000
2026-08-18,Kota Surabaya,Pasar Genteng,cabai_rawit,45000
2026-08-19,Kota Surabaya,Pasar Genteng,cabai_rawit,50000
2026-08-20,Kota Surabaya,Pasar Genteng,cabai_rawit,50000
2026-08-21,Kota Surabaya,Pasar Genteng,cabai_rawit,50000
2026-08-22,Kota Surabaya,Pasar Genteng,cabai_rawit,50000
2026-08-16,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-17,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-18,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-19,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-20,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-21,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-22,Kota Surabaya,Pasar Keputran,cabai_rawit,40000
2026-08-16,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,50000
2026-08-17,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,50000
2026-08-18,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,50000
2026-08-19,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,45000
2026-08-20,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,45000
2026-08-21,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,45000
2026-08-22,Kota Surabaya,Pasar Pucang Anom,cabai_rawit,55000
2026-08-16,Kota Surabaya,Pasar Soponyono,cabai_rawit,55000
2026-08-17,Kota Surabaya,Pasar Soponyono,cabai_rawit,54000
2026-08-18,Kota Surabaya,Pasar Soponyono,cabai_rawit,56000
2026-08-19,Kota Surabaya,Pasar Soponyono,cabai_rawit,54000
2026-08-20,Kota Surabaya,Pasar Soponyono,cabai_rawit,59000
2026-08-21,Kota Surabaya,Pasar Soponyono,cabai_rawit,58000
2026-08-22,Kota Surabaya,Pasar Soponyono,cabai_rawit,62000
2026-08-16,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,42000
2026-08-17,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,43000
2026-08-18,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,47000
2026-08-19,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,45000
2026-08-20,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,43000
2026-08-21,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,50000
2026-08-22,Kota Surabaya,Pasar Tambahrejo,cabai_rawit,50000
2026-08-16,Kota Surabaya,Pasar Wonokromo,cabai_rawit,45000
2026-08-17,Kota Surabaya,Pasar Wonokromo,cabai_rawit,45000
2026-08-18,Kota Surabaya,Pasar Wonokromo,cabai_rawit,45000
2026-08-19,Kota Surabaya,Pasar Wonokromo,cabai_rawit,45000
2026-08-20,Kota Surabaya,Pasar Wonokromo,cabai_rawit,45000
2026-08-21,Kota Surabaya,Pasar Wonokromo,cabai_rawit,65000
2026-08-22,Kota Surabaya,Pasar Wonokromo,cabai_rawit,65000
2026-08-16,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-17,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-18,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-19,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-20,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-21,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-22,Kota Malang,Pasar Besar,cabai_rawit,45000
2026-08-16,Kota Malang,Pasar Blimbing,cabai_rawit,35000
