tanggal,kabkota,pasar,komoditas,harga
2026-08-16,Kota Surabaya,Pasar Genteng,kentang,15000
2026-08-17,Kota Surabaya,Pasar Genteng,kentang,15000
2026-08-18,Kota Surabaya,Pasar Genteng,kentang,15000
2026-08-19,Kota Surabaya,Pasar Genteng,kentang,14000
2026-08-20,Kota Surabaya,Pasar Genteng,kentang,14000
2026-08-21,Kota Surabaya,Pasar Genteng,kentang,14000
2026-08-22,Kota Surabaya,Pasar Genteng,kentang,14000
2026-08-16,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-17,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-18,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-19,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-20,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-21,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-22,Kota Surabaya,Pasar Keputran,kentang,16000
2026-08-16,Kota Surabaya,Pasar Pucang Anom,kentang,18000
2026-08-17,Kota Surabaya,Pasar Pucang Anom,kentang,18000
2026-08-18,Kota Surabaya,Pasar Pucang Anom,kentang,18000
2026-08-19,Kota Surabaya,Pasar Pucang Anom,kentang,15000
2026-08-20,Kota Surabaya,Pasar Pucang Anom,kentang,15000
2026-08-21,Kota Surabaya,Pasar Pucang Anom,kentang,15000
2026-08-22,Kota Surabaya,Pasar Pucang Anom,kentang,18000
2026-08-16,Kota Surabaya,Pasar Soponyono,kentang,20000
2026-08-17,Kota Surabaya,Pasar Soponyono,kentang,20000
2026-08-18,Kota Surabaya,Pasar Soponyono,kentang,20000
2026-08-19,Kota Surabaya,Pasar Soponyono,kentang,19000
2026-08-20,Kota Surabaya,Pasar Soponyono,kentang,19000
2026-08-21,Kota Surabaya,Pasar Soponyono,kentang,19000
2026-08-22,Kota Surabaya,Pasar Soponyono,kentang,19000
2026-08-16,Kota Surabaya,Pasar Tambahrejo,kentang,14000
2026-08-17,Kota Surabaya,Pasar Tambahrejo,kentang,14000
2026-08-18,Kota Surabaya,Pasar Tambahrejo,kentang,16000
2026-08-19,Kota Surabaya,Pasar Tambahrejo,kentang,16000
2026-08-20,Kota Surabaya,Pasar Tambahrejo,kentang,16000
2026-08-21,Kota Surabaya,Pasar Tambahrejo,kentang,16000
2026-08-22,Kota Surabaya,Pasar Tambahrejo,kentang,16000
2026-08-16,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-17,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-18,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-19,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-20,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-21,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-22,Kota Surabaya,Pasar Wonokromo,kentang,17000
2026-08-16,Kota Malang,Pasar Besar,kentang,12000
2026-08-17,Kota Malang,Pasar Besar,kentang,12000
2026-08-18,Kota Malang,Pasar Besar,kentang,12000
2026-08-19,Kota Malang,Pasar Besar,kentang,12000
2026-08-20,Kota Malang,Pasar Besar,kentang,12000
2026-08-21,Kota Malang,Pasar Besar,kentang,12000
2026-08-22,Kota Malang,Pasar Besar,kentang,12000
2026-08-16,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-17,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-18,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-19,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-20,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-21,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-22,Kota Malang,Pasar Blimbing,kentang,15000
2026-08-16,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-17,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-18,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-19,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-20,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-21,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-22,Kota Malang,Pasar Dinoyo,kentang,13000
2026-08-16,Kota Malang,Pasar Klojen,kentang,14000
2026-08-17,Kota Malang,Pasar Klojen,kentang,14000
2026-08-18,Kota Malang,Pasar Klojen,kentang,15000
2026-08-19,Kota Malang,Pasar Klojen,kentang,16000
2026-08-20,Kota Malang,Pasar Klojen,kentang,16000
2026-08-21,Kota Malang,Pasar Klojen,kentang,16000
2026-08-22,Kota Malang,Pasar Klojen,kentang,16000
2026-08-16,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-17,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-18,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-19,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-20,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-21,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-22,Kota Malang,Pasar Oro-oro Dowo,kentang,15000
2026-08-16,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-17,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-18,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-19,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-20,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-21,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-22,Kota Malang,Pasar Tawangmangu,kentang,15000
2026-08-16,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-17,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-18,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-19,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-20,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-21,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-22,Kota Kediri,Pasar Bandar,kentang,16000
2026-08-16,Kota Kediri,Pasar Pahing,kentang,18000
2026-08-17,Kota Kediri,Pasar Pahing,kentang,18000
2026-08-18,Kota Kediri,Pasar Pahing,kentang,18000
2026-08-19,Kota Kediri,Pasar Pahing,kentang,18000
2026-08-20,Kota Kediri,Pasar Pahing,kentang,17000
2026-08-21,Kota Kediri,Pasar Pahing,kentang,17000
2026-08-22,Kota Kediri,Pasar Pahing,kentang,17000
2026-08-16,Kota Kediri,Pasar Setono Betek,kentang,18000
2026-08-17,Kota Kediri,Pasar Setono Betek,kentang,17000
2026-08-18,Kota Kediri,Pasar Setono Betek,kentang,17000
2026-08-19,Kota Kediri,Pasar Setono Betek,kentang,17000
2026-08-20,Kota Kediri,Pasar Setono Betek,kentang,17000
2026-08-21,Kota Kediri,Pasar Setono Betek,kentang,18000
2026-08-22,Kota Kediri,Pasar Setono Betek,kentang,18000
2026-08-16,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-17,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-18,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-19,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-20,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-21,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-22,Kabupaten Jember,Pasar Kreongan,kentang,16000
2026-08-16,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-17,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-18,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-19,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-20,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-21,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-22,Kabupaten Jember,Pasar Mangli,kentang,17000
2026-08-16,Kabupaten Jember,Pasar Tanjung,kentang,17000
2026-08-17,Kabupaten Jember,Pasar Tanjung,kentang,17000
2026-08-18,Kabupaten Jember,Pasar Tanjung,kentang,17000
2026-08-19,Kabupaten Jember,Pasar Tanjung,kentang,17000
2026-08-20,Kabupaten Jember,Pasar Tanjung,kentang,15000
2026-08-21,Kabupaten Jember,Pasar Tanjung,kentang,15000
2026-08-22,Kabupaten Jember,Pasar Tanjung,kentang,15000
2026-08-16,Kabupaten Jember,Pasar Tegal Besar,kentang,13000
2026-08-17,Kabupaten Jember,Pasar Tegal Besar,kentang,13000
2026-08-18,Kabupaten Jember,Pasar Tegal Besar,kentang,13000
2026-08-19,Kabupaten Jember,Pasar Tegal Besar,kentang,16000
2026-08-20,Kabupaten Jember,Pasar Tegal Besar,kentang,16000
2026-08-21,Kabupaten Jember,Pasar Tegal Besar,kentang,16000
2026-08-22,Kabupaten Jember,Pasar Tegal Besar,kentang,16000
2026-08-16,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-17,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-18,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-19,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-20,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-21,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-22,Kabupaten Jember,Pasar Wirolegi,kentang,15000
2026-08-16,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-17,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-18,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-19,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-20,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-21,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-22,Kabupaten Bangkalan,Pasar Baru Bancaran,kentang,16000
2026-08-16,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-17,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-18,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-19,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-20,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-21,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-22,Kabupaten Bangkalan,Pasar Ki Lemah Duwur,kentang,16000
2026-08-16,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-17,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-18,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-19,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-20,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-21,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-22,Kabupaten Bangkalan,Pasar Senenan,kentang,16000
2026-08-16,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-17,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-18,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-19,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-20,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-21,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-22,Kabupaten Banyuwangi,Pasar Banyuwangi,kentang,16000
2026-08-16,Kabupaten Banyuwangi,Pasar Blambangan,kentang,16000
2026-08-17,Kabupaten Banyuwangi,Pasar Blambangan,kentang,16000
