provinsi,kabkota,kode_bps,lat,lon,penduduk,beras,jagung,bawang,cabai_besar,cabai_rawit,kentang,sumber,tanggal_akses,status_verifikasi
Jawa Timur,Kabupaten Pacitan,3501,-8.2,111.1,589357,30247,0,-1628,690,307,-177,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Ponorogo,3502,-7.87,111.47,968994,175853,0,45,725,1777,-240,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Trenggalek,3503,-8.05,111.71,750476,32330,0,-1758,162,264,-225,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Tulungagung,3504,-8.07,111.9,1125005,50584,0,-1059,1092,987,-333,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Blitar,3505,-8.13,112.17,1282970,32911,0,-425,5687,51868,535,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Kediri,3506,-7.82,112.06,1714171,-20062,0,3469,18907,109221,-514,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Malang,3507,-8.17,112.65,2774002,-75525,0,38695,32397,88970,28811,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Lumajang,3508,-8.13,113.22,1158367,70679,0,-3114,5385,12981,10544,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Jember,3509,-8.17,113.7,2635737,185436,0,-6953,9007,17874,-791,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Banyuwangi,3510,-8.35,114.2,1774328,122638,0,2102,8649,23831,-517,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Bondowoso,3511,-7.91,113.82,800132,98181,0,-2065,198,8520,3072,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Situbondo,3512,-7.71,114.01,707572,59451,0,2092,1,18732,-212,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Probolinggo,3513,-7.87,113.3,1200981,18953,0,50928,8598,30146,47494,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Pasuruan,3514,-7.72,112.85,1681022,26403,0,-2965,12189,13846,142679,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Sidoarjo,3515,-7.45,112.7,2215288,-72481,0,-6084,-410,-440,-665,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Mojokerto,3516,-7.47,112.47,1170760,88476,0,7924,259,8661,-351,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Jombang,3517,-7.55,112.23,1384556,146313,0,-2869,2944,1047,-415,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Nganjuk,3518,-7.6,111.9,1145155,161402,0,219825,127,3542,-344,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Madiun,3519,-7.63,111.65,763828,217347,0,-909,-45,44,-198,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Magetan,3520,-7.65,111.35,692785,123583,0,888,6521,717,7915,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Ngawi,3521,-7.4,111.45,889988,376226,0,24,3504,902,-267,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Bojonegoro,3522,-7.15,111.88,1335288,403116,0,34973,1250,748,-401,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Tuban,3523,-6.9,112.05,1237088,236606,0,583,9076,63593,-371,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Lamongan,3524,-7.12,112.42,1394222,398667,0,-3553,-171,46471,-418,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Gresik,3525,-7.16,112.65,1390172,107733,0,-3840,2117,21825,-417,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Bangkalan,3526,-7.03,112.75,1123061,41050,0,-3194,-144,1475,-337,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Sampang,3527,-7.05,113.25,1038386,28131,0,37685,830,40421,-312,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Pamekasan,3528,-7.05,113.48,901666,5066,0,15651,569,6578,-270,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kabupaten Sumenep,3529,-7.0,113.87,1165227,17896,0,11482,789,19861,-350,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Kediri,3571,-7.82,112.02,304129,-21736,0,-769,23,-2,-91,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Blitar,3572,-8.1,112.16,157785,-8884,0,-450,30,175,-47,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Malang,3573,-7.98,112.63,868650,-63437,0,-2479,-147,-125,-261,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Probolinggo,3574,-7.75,113.22,254569,-14159,0,4340,-33,77,-76,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Pasuruan,3575,-7.65,112.91,225257,-13373,0,-643,-40,-45,-68,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Mojokerto,3576,-7.47,112.43,139817,-9195,0,-399,-26,-28,-42,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Madiun,3577,-7.63,111.52,205316,-9254,0,-553,-38,-41,-62,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Surabaya,3578,-7.26,112.75,2940265,-227329,0,-8384,-544,-561,-882,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
Jawa Timur,Kota Batu,3579,-7.87,112.53,227482,-16112,0,2885,2157,1087,8528,"BPS Jatim 2025: produksi kab/kota, penduduk kab/kota; konsumsi per kapita nasional Susenas",2026-08-29,terverifikasi
