provinsi,asal,tujuan,komoditas,volume_ton,biaya_rp,jarak_km
Jawa Timur,Kabupaten Blitar,Kabupaten Malang,beras,13164.4,620.6,44.4
Jawa Timur,Kabupaten Blitar,Kota Blitar,beras,7107.2,66.21,8.8
Jawa Timur,Kabupaten Blitar,Kota Malang,beras,12639.4,629.95,47.0
Jawa Timur,Kabupaten Lumajang,Kabupaten Malang,beras,28271.6,1649.09,54.6
Jawa Timur,Kabupaten Lumajang,Kota Malang,beras,28271.6,1738.3,57.6
Jawa Timur,Kabupaten Lumajang,Kota Probolinggo,beras,3746.0,159.6,39.7
Jawa Timur,Kabupaten Probolinggo,Kota Probolinggo,beras,7581.2,132.94,16.3
Jawa Timur,Kabupaten Probolinggo,Kota Pasuruan,beras,137.2,7.56,51.4
Jawa Timur,Kabupaten Pasuruan,Kabupaten Malang,beras,10561.2,535.18,47.5
Jawa Timur,Kabupaten Pasuruan,Kota Malang,beras,5280.6,191.09,33.9
Jawa Timur,Kabupaten Pasuruan,Kota Pasuruan,beras,10561.2,150.91,13.4
Jawa Timur,Kabupaten Mojokerto,Kabupaten Malang,beras,8422.8,595.19,66.4
Jawa Timur,Kabupaten Mojokerto,Kabupaten Sidoarjo,beras,35390.4,977.87,26.0
Jawa Timur,Kabupaten Mojokerto,Kota Malang,beras,4558.0,245.03,50.6
Jawa Timur,Kabupaten Mojokerto,Kota Mojokerto,beras,7356.0,78.99,10.1
Jawa Timur,Kabupaten Mojokerto,Kota Surabaya,beras,19859.2,849.66,40.2
Jawa Timur,Kabupaten Mojokerto,Kota Batu,beras,12889.6,436.44,31.9
Jawa Timur,Kabupaten Nganjuk,Kabupaten Kediri,beras,16049.6,518.6,30.6
Jawa Timur,Kabupaten Nganjuk,Kota Kediri,beras,17388.8,490.42,26.7
Jawa Timur,Kabupaten Madiun,Kota Madiun,beras,7403.2,100.24,12.9
Jawa Timur,Kabupaten Lamongan,Kota Surabaya,beras,102490.8,5351.93,49.1
Jawa Timur,Kabupaten Gresik,Kabupaten Sidoarjo,beras,22594.4,930.98,38.7
Jawa Timur,Kabupaten Gresik,Kota Surabaya,beras,43093.2,1148.12,25.0
Jawa Timur,Kabupaten Bangkalan,Kota Surabaya,beras,16420.0,602.3,34.4
Jawa Timur,Kabupaten Ponorogo,Kabupaten Pacitan,bawang,18.0,0.78,41.5
Jawa Timur,Kabupaten Ponorogo,Kabupaten Trenggalek,bawang,18.0,0.56,29.5
Jawa Timur,Kabupaten Ponorogo,Kota Madiun,bawang,9.0,0.32,33.9
Jawa Timur,Kabupaten Kediri,Kabupaten Trenggalek,bawang,1210.8,80.87,63.4
Jawa Timur,Kabupaten Kediri,Kabupaten Tulungagung,bawang,847.2,34.63,38.8
Jawa Timur,Kabupaten Kediri,Kabupaten Blitar,bawang,340.0,13.41,37.3
Jawa Timur,Kabupaten Kediri,Kota Kediri,bawang,615.2,5.35,8.2
Jawa Timur,Kabupaten Kediri,Kota Blitar,bawang,360.0,11.74,30.9
Jawa Timur,Kabupaten Malang,Kota Malang,bawang,1983.2,34.74,16.5
Jawa Timur,Kabupaten Banyuwangi,Kabupaten Bondowoso,bawang,815.2,48.44,54.7
Jawa Timur,Kabupaten Situbondo,Kabupaten Bondowoso,bawang,836.8,35.03,38.5
Jawa Timur,Kabupaten Probolinggo,Kabupaten Lumajang,bawang,2491.2,94.29,35.3
Jawa Timur,Kabupaten Probolinggo,Kabupaten Jember,bawang,5562.4,331.19,55.3
Jawa Timur,Kabupaten Mojokerto,Kabupaten Sidoarjo,bawang,3169.6,87.58,26.0
Jawa Timur,Kabupaten Mojokerto,Kabupaten Gresik,bawang,3072.0,149.41,45.8
Jawa Timur,Kabupaten Mojokerto,Kota Mojokerto,bawang,319.2,3.43,10.1
Jawa Timur,Kabupaten Mojokerto,Kota Surabaya,bawang,1363.2,58.32,40.2
Jawa Timur,Kabupaten Nganjuk,Kabupaten Pacitan,bawang,919.6,98.55,102.2
Jawa Timur,Kabupaten Nganjuk,Kabupaten Jombang,bawang,2295.2,88.24,36.4
Jawa Timur,Kabupaten Nganjuk,Kabupaten Madiun,bawang,727.2,24.75,32.4
Jawa Timur,Kabupaten Nganjuk,Kota Madiun,bawang,68.6,3.26,45.2
Jawa Timur,Kabupaten Magetan,Kabupaten Pacitan,bawang,355.2,20.46,55.2
Jawa Timur,Kabupaten Magetan,Kabupaten Trenggalek,bawang,177.6,11.75,63.2
Jawa Timur,Kabupaten Magetan,Kota Madiun,bawang,355.2,7.15,19.2
Jawa Timur,Kabupaten Ngawi,Kabupaten Pacitan,bawang,9.6,0.79,78.5
Jawa Timur,Kabupaten Ngawi,Kota Madiun,bawang,9.6,0.29,29.3
Jawa Timur,Kabupaten Bojonegoro,Kabupaten Lamongan,bawang,2609.2,153.87,55.9
Jawa Timur,Kabupaten Tuban,Kabupaten Lamongan,bawang,233.2,12.08,49.0
Jawa Timur,Kabupaten Sampang,Kabupaten Bangkalan,bawang,2555.2,98.76,36.1
Jawa Timur,Kabupaten Sampang,Kota Surabaya,bawang,5344.0,365.68,64.0
Jawa Timur,Kota Probolinggo,Kabupaten Pasuruan,bawang,1218.0,53.81,41.3
