provinsi,komoditas,n_kabkota,sistem,n_kabkota_harga,frekuensi,keterisian,url,status_verifikasi,catatan,tanggal_akses
Jawa Timur,beras,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Timur,jagung,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Timur,bawang,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Timur,cabai_besar,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Timur,cabai_rawit,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Timur,kentang,38,SISKAPERBAPO Disperindag Jatim,38,harian,0.996,https://siskaperbapo.jatimprov.go.id/,sebagian,"TERVERIFIKASI dari sumber: 38 kab/kota, 121 pasar, 67 komoditas dipantau. Keenam komoditas PradanaLog ada, termasuk KENTANG (id=45) yang semula diduga tidak dipantau. Keterisian 0,996 dihitung dari panel 7 hari (2026-08-16 s.d. 2026-08-22) komoditas Beras Premium: tingkat kabupaten 0,9962, enam hari pertama 1,000 dan hanya hari berjalan turun ke 0,974. Perlu diperluas ke satu tahun dan enam komoditas. id komoditas: beras=4, jagung=25, bawang=39, cabai_besar=38, cabai_rawit=50, kentang=45.",2026-08-20
Jawa Tengah,beras,35,SiHati Jateng (hargajateng.org),35,harian,0.7,https://www.hargajateng.org/,estimasi,"Sistem dan cakupan 35 kab/kota terverifikasi lewat menu Tabel Harga Berdasarkan Kabupaten (dropdown memuat Cilacap s.d. Kota Tegal). SiHati adalah SPA JavaScript sehingga angkanya tidak bisa ditarik tanpa browser; keterisian 0,70 MASIH ESTIMASI dan menentukan peringkat.",2026-08-20
Jawa Tengah,jagung,35,SiHati Jateng (hargajateng.org),35,harian,0.7,https://www.hargajateng.org/,estimasi,"Sistem dan cakupan 35 kab/kota terverifikasi lewat menu Tabel Harga Berdasarkan Kabupaten (dropdown memuat Cilacap s.d. Kota Tegal). SiHati adalah SPA JavaScript sehingga angkanya tidak bisa ditarik tanpa browser; keterisian 0,70 MASIH ESTIMASI dan menentukan peringkat.",2026-08-20
Jawa Tengah,bawang,35,SiHati Jateng (hargajateng.org),35,harian,0.7,https://www.hargajateng.org/,estimasi,"Sistem dan cakupan 35 kab/kota terverifikasi lewat menu Tabel Harga Berdasarkan Kabupaten (dropdown memuat Cilacap s.d. Kota Tegal). SiHati adalah SPA JavaScript sehingga angkanya tidak bisa ditarik tanpa browser; keterisian 0,70 MASIH ESTIMASI dan menentukan peringkat.",2026-08-20
Jawa Tengah,cabai_besar,35,SiHati Jateng (hargajateng.org),35,harian,0.7,https://www.hargajateng.org/,estimasi,"Sistem dan cakupan 35 kab/kota terverifikasi lewat menu Tabel Harga Berdasarkan Kabupaten (dropdown memuat Cilacap s.d. Kota Tegal). SiHati adalah SPA JavaScript sehingga angkanya tidak bisa ditarik tanpa browser; keterisian 0,70 MASIH ESTIMASI dan menentukan peringkat.",2026-08-20
