provinsi,komoditas,n_kabkota,n_kabkota_produksi,tahun_awal,tahun_akhir,sumber,url,tanggal_akses,status_verifikasi
Jawa Timur,beras,38,38,2023,2025,BPS Jatim — Produksi Padi dan Beras menurut Kab/Kota,https://jatim.bps.go.id/id/statistics-table/3/ZDNaak0yODBUVTlGYW5sa2REUkVUVVY1YVZkbmR6MDkjMw==/produksi-padi-sup-1--sup--dan-beras-menurut-kabupaten-kota-di-provinsi-jawa-timur--2024.html,2026-08-24,terverifikasi
Jawa Timur,jagung,38,33,2007,2018,BPS Jatim — Produksi Jagung menurut Kab/Kota (seri berhenti 2018),https://jatim.bps.go.id/id/statistics-table,2026-08-24,sebagian
Jawa Timur,bawang,38,34,2023,2025,BPS Jatim — Produksi Tanaman Sayuran dan Buah-Buahan Semusim menurut Kab/Kota,https://jatim.bps.go.id/id/statistics-table/3/ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-dan-buah-buahan-semusim-menurut-kabupaten-kota-dan-jenis-tanaman---di-provinsi-jawa-timur--2023.html,2026-08-24,terverifikasi
Jawa Timur,cabai_besar,38,36,2023,2025,BPS Jatim — Produksi Tanaman Sayuran dan Buah-Buahan Semusim menurut Kab/Kota,https://jatim.bps.go.id/id/statistics-table/3/ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-dan-buah-buahan-semusim-menurut-kabupaten-kota-dan-jenis-tanaman---di-provinsi-jawa-timur--2023.html,2026-08-24,terverifikasi
Jawa Timur,cabai_rawit,38,36,2023,2025,BPS Jatim — Produksi Tanaman Sayuran dan Buah-Buahan Semusim menurut Kab/Kota,https://jatim.bps.go.id/id/statistics-table/3/ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-dan-buah-buahan-semusim-menurut-kabupaten-kota-dan-jenis-tanaman---di-provinsi-jawa-timur--2023.html,2026-08-24,terverifikasi
Jawa Timur,kentang,38,12,2023,2025,BPS Jatim — Produksi Tanaman Sayuran dan Buah-Buahan Semusim menurut Kab/Kota,https://jatim.bps.go.id/id/statistics-table/3/ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-dan-buah-buahan-semusim-menurut-kabupaten-kota-dan-jenis-tanaman---di-provinsi-jawa-timur--2023.html,2026-08-24,terverifikasi
Jawa Tengah,beras,35,32,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Jawa Tengah,jagung,35,30,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Jawa Tengah,bawang,35,10,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Jawa Tengah,cabai_besar,35,28,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Jawa Tengah,cabai_rawit,35,30,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Jawa Tengah,kentang,35,6,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
