komoditas,h,metode,mape,n,mase
Bawang Merah,1,campuran,12.23,805.0,1.021
Bawang Merah,1,hanyut,12.63,805.0,1.027
Bawang Merah,1,musiman,17.3,805.0,1.45
Bawang Merah,1,naif,12.29,805.0,1.0
Bawang Merah,2,campuran,14.05,770.0,0.896
Bawang Merah,2,hanyut,17.58,770.0,1.076
Bawang Merah,2,musiman,17.77,770.0,1.139
Bawang Merah,2,naif,16.21,770.0,1.0
Bawang Merah,3,campuran,13.35,735.0,0.889
Bawang Merah,3,hanyut,17.42,735.0,1.112
Bawang Merah,3,musiman,17.95,735.0,1.197
Bawang Merah,3,naif,15.53,735.0,1.0
Beras,1,campuran,2.49,805.0,3.14
Beras,1,hanyut,1.02,805.0,1.282
Beras,1,musiman,4.67,805.0,5.873
Beras,1,naif,0.79,805.0,1.0
Beras,2,campuran,2.52,770.0,1.841
Beras,2,hanyut,1.79,770.0,1.295
Beras,2,musiman,4.43,770.0,3.221
Beras,2,naif,1.37,770.0,1.0
Beras,3,campuran,2.64,735.0,1.44
Beras,3,hanyut,2.48,735.0,1.345
Beras,3,musiman,4.34,735.0,2.351
Beras,3,naif,1.84,735.0,1.0
Cabai Besar,1,campuran,23.79,647.0,1.135
Cabai Besar,1,hanyut,20.4,647.0,1.067
Cabai Besar,1,musiman,36.09,647.0,1.663
Cabai Besar,1,naif,19.07,647.0,1.0
Cabai Besar,2,campuran,27.71,618.0,0.963
Cabai Besar,2,hanyut,30.04,618.0,1.121
Cabai Besar,2,musiman,36.85,618.0,1.246
Cabai Besar,2,naif,26.77,618.0,1.0
Cabai Besar,3,campuran,31.2,589.0,0.877
Cabai Besar,3,hanyut,38.84,589.0,1.166
Cabai Besar,3,musiman,36.95,589.0,1.011
Cabai Besar,3,naif,33.31,589.0,1.0
Cabai Rawit,1,campuran,26.38,736.0,0.9
Cabai Rawit,1,hanyut,29.31,736.0,1.038
Cabai Rawit,1,musiman,34.16,736.0,1.177
Cabai Rawit,1,naif,28.33,736.0,1.0
Cabai Rawit,2,campuran,29.6,704.0,0.823
Cabai Rawit,2,hanyut,38.27,704.0,1.082
Cabai Rawit,2,musiman,34.88,704.0,0.984
Cabai Rawit,2,naif,35.17,704.0,1.0
Cabai Rawit,3,campuran,32.99,672.0,0.8
Cabai Rawit,3,hanyut,45.65,672.0,1.13
Cabai Rawit,3,musiman,35.92,672.0,0.888
Cabai Rawit,3,naif,40.55,672.0,1.0
