provinsi,komoditas,h,metode,mape,mae,n,mae_naif,mase
Aceh,Bawang Merah,1,campuran,12.38659957189383,5167.391304347826,23.0,5297.826086956522,0.975
Aceh,Bawang Merah,1,hanyut,13.448238851883392,5503.804347826088,23.0,5297.826086956522,1.039
Aceh,Bawang Merah,1,musiman,16.252941554863952,6910.869565217391,23.0,5297.826086956522,1.304
Aceh,Bawang Merah,1,naif,13.006117928208036,5297.826086956522,23.0,5297.826086956522,1.0
Aceh,Bawang Merah,2,campuran,15.04960136851988,6397.727272727273,22.0,7688.636363636364,0.832
Aceh,Bawang Merah,2,hanyut,20.15609299862307,8248.484848484848,22.0,7688.636363636364,1.073
Aceh,Bawang Merah,2,musiman,16.393856869077478,7070.454545454545,22.0,7688.636363636364,0.92
Aceh,Bawang Merah,2,naif,18.65093800889222,7688.636363636364,22.0,7688.636363636364,1.0
Aceh,Bawang Merah,3,campuran,13.694327908160936,5904.761904761905,21.0,6438.0952380952385,0.917
Aceh,Bawang Merah,3,hanyut,18.00750400334301,7536.9047619047615,21.0,6438.0952380952385,1.171
Aceh,Bawang Merah,3,musiman,16.242169671134025,7119.047619047619,21.0,6438.0952380952385,1.106
Aceh,Bawang Merah,3,naif,15.453511365851224,6438.0952380952385,21.0,6438.0952380952385,1.0
Aceh,Beras,1,campuran,2.667378110982521,393.4782608695652,23.0,206.52173913043478,1.905
Aceh,Beras,1,hanyut,1.6824885190712673,247.10144927536234,23.0,206.52173913043478,1.196
Aceh,Beras,1,musiman,5.044296354837349,741.304347826087,23.0,206.52173913043478,3.589
Aceh,Beras,1,naif,1.398448171526062,206.52173913043478,23.0,206.52173913043478,1.0
Aceh,Beras,2,campuran,2.7448511411931378,409.09090909090907,22.0,354.54545454545456,1.154
Aceh,Beras,2,hanyut,2.8861326637530746,422.7272727272726,22.0,354.54545454545456,1.192
Aceh,Beras,2,musiman,4.8240321032340505,713.6363636363636,22.0,354.54545454545456,2.013
Aceh,Beras,2,naif,2.4043433069013074,354.54545454545456,22.0,354.54545454545456,1.0
Aceh,Beras,3,campuran,3.1527273682542947,470.23809523809524,21.0,433.3333333333333,1.085
Aceh,Beras,3,hanyut,3.5308567789972924,516.6666666666666,21.0,433.3333333333333,1.192
Aceh,Beras,3,musiman,4.96653354474511,735.7142857142857,21.0,433.3333333333333,1.698
Aceh,Beras,3,naif,2.938188773119289,433.3333333333333,21.0,433.3333333333333,1.0
Aceh,Cabai Besar,1,campuran,0.0,0.0,3.0,0.0,1.0
Aceh,Cabai Besar,1,hanyut,0.0,0.0,3.0,0.0,1.0
Aceh,Cabai Besar,1,musiman,0.0,0.0,3.0,0.0,1.0
Aceh,Cabai Besar,1,naif,0.0,0.0,3.0,0.0,1.0
Aceh,Cabai Besar,2,campuran,0.0,0.0,2.0,0.0,1.0
Aceh,Cabai Besar,2,hanyut,0.0,0.0,2.0,0.0,1.0
Aceh,Cabai Besar,2,musiman,0.0,0.0,2.0,0.0,1.0
Aceh,Cabai Besar,2,naif,0.0,0.0,2.0,0.0,1.0
Aceh,Cabai Besar,3,campuran,0.0,0.0,1.0,0.0,1.0
Aceh,Cabai Besar,3,hanyut,0.0,0.0,1.0,0.0,1.0
Aceh,Cabai Besar,3,musiman,0.0,0.0,1.0,0.0,1.0
Aceh,Cabai Besar,3,naif,0.0,0.0,1.0,0.0,1.0
Bali,Bawang Merah,1,campuran,15.361981491449624,5764.130434782609,23.0,5641.304347826087,1.022
