bulan,provinsi,komoditas,harga,is_interpolated
2020-02,Aceh,Bawang Merah,42500.0,False
2020-03,Aceh,Bawang Merah,35600.0,False
2020-04,Aceh,Bawang Merah,40900.0,False
2020-05,Aceh,Bawang Merah,38800.0,True
2020-06,Aceh,Bawang Merah,36700.0,True
2020-07,Aceh,Bawang Merah,34600.0,False
2020-08,Aceh,Bawang Merah,34000.0,False
2020-09,Aceh,Bawang Merah,29650.0,False
2020-10,Aceh,Bawang Merah,30150.0,False
2020-11,Aceh,Bawang Merah,36100.0,False
2020-12,Aceh,Bawang Merah,38350.0,False
2021-01,Aceh,Bawang Merah,36100.0,True
2021-02,Aceh,Bawang Merah,33850.0,False
2021-03,Aceh,Bawang Merah,34150.0,False
2021-04,Aceh,Bawang Merah,35400.0,False
2021-05,Aceh,Bawang Merah,35400.0,False
2021-06,Aceh,Bawang Merah,33450.0,True
2021-07,Aceh,Bawang Merah,31500.0,False
2021-08,Aceh,Bawang Merah,35150.0,False
2021-09,Aceh,Bawang Merah,31000.0,False
2021-10,Aceh,Bawang Merah,26900.0,False
2021-11,Aceh,Bawang Merah,28750.0,False
2021-12,Aceh,Bawang Merah,28350.0,False
2022-01,Aceh,Bawang Merah,32100.0,False
2022-02,Aceh,Bawang Merah,33600.0,True
2022-03,Aceh,Bawang Merah,35100.0,False
2022-04,Aceh,Bawang Merah,35500.0,False
2022-05,Aceh,Bawang Merah,44916.66666666666,True
2022-06,Aceh,Bawang Merah,54333.33333333333,True
2022-07,Aceh,Bawang Merah,63750.0,False
2022-08,Aceh,Bawang Merah,46750.0,False
2022-09,Aceh,Bawang Merah,31600.0,False
2022-10,Aceh,Bawang Merah,33650.0,False
2022-11,Aceh,Bawang Merah,33650.0,False
2022-12,Aceh,Bawang Merah,34400.0,False
2023-01,Aceh,Bawang Merah,32500.0,False
2023-02,Aceh,Bawang Merah,40100.0,False
2023-03,Aceh,Bawang Merah,37350.0,False
2023-04,Aceh,Bawang Merah,35100.0,False
2023-05,Aceh,Bawang Merah,35050.0,True
2023-06,Aceh,Bawang Merah,35000.0,False
2023-07,Aceh,Bawang Merah,38650.0,False
2023-08,Aceh,Bawang Merah,33600.0,False
2023-09,Aceh,Bawang Merah,29250.0,False
2023-10,Aceh,Bawang Merah,24850.0,False
2023-11,Aceh,Bawang Merah,27650.0,False
2023-12,Aceh,Bawang Merah,33250.0,False
2024-01,Aceh,Bawang Merah,40400.0,False
2024-02,Aceh,Bawang Merah,37500.0,False
2024-03,Aceh,Bawang Merah,37900.0,False
2024-04,Aceh,Bawang Merah,41150.0,False
2024-05,Aceh,Bawang Merah,64150.0,False
2024-06,Aceh,Bawang Merah,54400.0,False
2024-07,Aceh,Bawang Merah,46100.0,False
2024-08,Aceh,Bawang Merah,28250.0,False
2024-09,Aceh,Bawang Merah,25850.0,False
2024-10,Aceh,Bawang Merah,30900.0,False
2024-11,Aceh,Bawang Merah,32600.0,False
2024-12,Aceh,Bawang Merah,39150.0,False
2025-01,Aceh,Bawang Merah,44900.0,False
2025-02,Aceh,Bawang Merah,37250.0,False
2025-03,Aceh,Bawang Merah,37150.0,False
2025-04,Aceh,Bawang Merah,41600.0,False
2025-05,Aceh,Bawang Merah,44750.0,False
2025-06,Aceh,Bawang Merah,37500.0,False
2025-07,Aceh,Bawang Merah,41250.0,False
2025-08,Aceh,Bawang Merah,54900.0,False
2025-09,Aceh,Bawang Merah,49150.0,False
2025-10,Aceh,Bawang Merah,37000.0,False
2025-11,Aceh,Bawang Merah,36250.0,False
2025-12,Aceh,Bawang Merah,47650.0,False
2026-01,Aceh,Bawang Merah,48000.0,False
2026-02,Aceh,Bawang Merah,37100.0,False
2026-03,Aceh,Bawang Merah,37350.0,False
2026-04,Aceh,Bawang Merah,39400.0,False
2026-05,Aceh,Bawang Merah,37150.0,False
2026-06,Aceh,Bawang Merah,45350.0,False
2026-07,Aceh,Bawang Merah,39000.0,False
2020-02,Aceh,Beras,10200.0,False
2020-03,Aceh,Beras,9950.0,False
2020-04,Aceh,Beras,10100.0,False
2020-05,Aceh,Beras,10150.0,True
2020-06,Aceh,Beras,10200.0,True
2020-07,Aceh,Beras,10250.0,False
2020-08,Aceh,Beras,10250.0,False
2020-09,Aceh,Beras,10200.0,False
2020-10,Aceh,Beras,10150.0,False
2020-11,Aceh,Beras,10250.0,False
2020-12,Aceh,Beras,10150.0,False
2021-01,Aceh,Beras,10150.0,True
2021-02,Aceh,Beras,10150.0,False
2021-03,Aceh,Beras,10100.0,False
2021-04,Aceh,Beras,10100.0,False
2021-05,Aceh,Beras,10050.0,False
2021-06,Aceh,Beras,10050.0,True
2021-07,Aceh,Beras,10050.0,False
2021-08,Aceh,Beras,10050.0,False
2021-09,Aceh,Beras,10050.0,False
2021-10,Aceh,Beras,10150.0,False
2021-11,Aceh,Beras,10150.0,False
2021-12,Aceh,Beras,10150.0,False
2022-01,Aceh,Beras,10200.0,False
2022-02,Aceh,Beras,10275.0,True
2022-03,Aceh,Beras,10350.0,False
2022-04,Aceh,Beras,10400.0,False
2022-05,Aceh,Beras,10366.666666666666,True
2022-06,Aceh,Beras,10333.333333333334,True
2022-07,Aceh,Beras,10300.0,False
2022-08,Aceh,Beras,10400.0,False
2022-09,Aceh,Beras,10650.0,False
2022-10,Aceh,Beras,10750.0,False
2022-11,Aceh,Beras,10800.0,False
2022-12,Aceh,Beras,10850.0,False
2023-01,Aceh,Beras,11050.0,False
2023-02,Aceh,Beras,11650.0,False
2023-03,Aceh,Beras,11700.0,False
2023-04,Aceh,Beras,11550.0,False
2023-05,Aceh,Beras,11550.0,True
2023-06,Aceh,Beras,11550.0,False
2023-07,Aceh,Beras,11600.0,False
2023-08,Aceh,Beras,11800.0,False
2023-09,Aceh,Beras,12300.0,False
2023-10,Aceh,Beras,13400.0,False
2023-11,Aceh,Beras,13350.0,False
2023-12,Aceh,Beras,13350.0,False
2024-01,Aceh,Beras,13450.0,False
2024-02,Aceh,Beras,13650.0,False
2024-03,Aceh,Beras,13650.0,False
2024-04,Aceh,Beras,13650.0,False
