provinsi,komoditas,h,metode,mase,dipakai,dipakai_kom,penyesalan
Aceh,Bawang Merah,1,campuran,0.975,naif,naif,0.0
Aceh,Bawang Merah,2,campuran,0.832,campuran,campuran,0.0
Aceh,Bawang Merah,3,campuran,0.917,campuran,campuran,0.0
Aceh,Beras,1,hanyut,1.196,naif,naif,0.0
Aceh,Beras,2,campuran,1.154,naif,naif,0.0
Aceh,Beras,3,campuran,1.085,naif,naif,0.0
Aceh,Cabai Besar,1,campuran,1.0,naif,naif,0.0
Aceh,Cabai Besar,2,campuran,1.0,naif,naif,0.0
Aceh,Cabai Besar,3,campuran,1.0,naif,campuran,0.0
Bali,Bawang Merah,1,hanyut,0.988,naif,naif,0.0
Bali,Bawang Merah,2,campuran,0.823,campuran,campuran,0.0
Bali,Bawang Merah,3,campuran,0.789,campuran,campuran,0.0
Bali,Beras,1,hanyut,1.31,naif,naif,0.0
Bali,Beras,2,hanyut,1.121,naif,naif,0.0
Bali,Beras,3,hanyut,1.17,naif,naif,0.0
Bali,Cabai Besar,1,hanyut,1.108,naif,naif,0.0
Bali,Cabai Besar,2,campuran,0.974,naif,naif,0.0
Bali,Cabai Besar,3,campuran,0.9,campuran,campuran,0.0
Bali,Cabai Rawit,1,campuran,0.867,campuran,campuran,0.0
Bali,Cabai Rawit,2,campuran,0.745,campuran,campuran,0.0
Bali,Cabai Rawit,3,campuran,0.649,campuran,campuran,0.0
Banten,Bawang Merah,1,hanyut,1.027,naif,naif,0.0
Banten,Bawang Merah,2,campuran,0.916,campuran,campuran,0.0
Banten,Bawang Merah,3,campuran,0.843,campuran,campuran,0.0
Banten,Beras,1,hanyut,1.113,naif,naif,0.0
Banten,Beras,2,hanyut,1.008,naif,naif,0.0
Banten,Beras,3,campuran,0.922,campuran,naif,0.078
Banten,Cabai Besar,1,hanyut,1.063,naif,naif,0.0
Banten,Cabai Besar,2,campuran,1.026,naif,naif,0.0
Banten,Cabai Besar,3,campuran,0.928,campuran,campuran,0.0
Banten,Cabai Rawit,1,campuran,0.915,campuran,campuran,0.0
Banten,Cabai Rawit,2,campuran,0.842,campuran,campuran,0.0
Banten,Cabai Rawit,3,campuran,0.776,campuran,campuran,0.0
Bengkulu,Bawang Merah,1,campuran,1.021,naif,naif,0.0
Bengkulu,Bawang Merah,2,campuran,0.901,campuran,campuran,0.0
Bengkulu,Bawang Merah,3,campuran,0.924,campuran,campuran,0.0
Bengkulu,Beras,1,hanyut,1.681,naif,naif,0.0
Bengkulu,Beras,2,hanyut,1.691,naif,naif,0.0
