provinsi,komoditas,bulan,h,harga_prediksi,lo,hi,harga_kini,metode
Aceh,Bawang Merah,2026-08,1,39000,32861,45235,39000,naive
Aceh,Bawang Merah,2026-09,2,44075,39439,54426,39000,blend
Aceh,Bawang Merah,2026-10,3,38000,35305,47341,39000,blend
Aceh,Beras,2026-08,1,15050,14964,15208,15050,naive
Aceh,Beras,2026-09,2,15050,14898,15338,15050,naive
Aceh,Beras,2026-10,3,15050,14852,15419,15050,naive
Aceh,Cabai Besar,2026-08,1,40000,29958,48483,40000,naive
Aceh,Cabai Besar,2026-09,2,40000,24998,52728,40000,naive
Aceh,Cabai Besar,2026-10,3,40000,18379,52726,40000,blend
Bali,Bawang Merah,2026-08,1,40050,33745,46452,40050,naive
Bali,Bawang Merah,2026-09,2,38875,34786,48005,40050,blend
Bali,Bawang Merah,2026-10,3,35850,33308,44662,40050,blend
Bali,Beras,2026-08,1,15550,15461,15713,15550,naive
Bali,Beras,2026-09,2,15550,15393,15848,15550,naive
Bali,Beras,2026-10,3,15550,15346,15931,15550,naive
Bali,Cabai Besar,2026-08,1,31400,23517,38059,31400,naive
Bali,Cabai Besar,2026-09,2,31400,19624,41391,31400,naive
Bali,Cabai Besar,2026-10,3,39700,18242,52331,31400,blend
Bali,Cabai Rawit,2026-08,1,41625,24860,52763,50000,blend
Bali,Cabai Rawit,2026-09,2,39950,21106,52538,50000,blend
Bali,Cabai Rawit,2026-10,3,41900,19103,56179,50000,blend
Banten,Bawang Merah,2026-08,1,46150,38885,53528,46150,naive
Banten,Bawang Merah,2026-09,2,43325,38768,53500,46150,blend
Banten,Bawang Merah,2026-10,3,42950,39904,53508,46150,blend
Banten,Beras,2026-08,1,16100,16007,16269,16100,naive
Banten,Beras,2026-09,2,16100,15938,16409,16100,naive
Banten,Beras,2026-10,3,16100,15889,16495,16100,naive
Banten,Cabai Besar,2026-08,1,52150,39058,63209,52150,naive
Banten,Cabai Besar,2026-09,2,52150,32591,68744,52150,naive
Banten,Cabai Besar,2026-10,3,54700,25134,72103,52150,blend
Banten,Cabai Rawit,2026-08,1,47075,28114,59671,53150,blend
Banten,Cabai Rawit,2026-09,2,44950,23747,59114,53150,blend
Banten,Cabai Rawit,2026-10,3,47525,21668,63721,53150,blend
Bengkulu,Bawang Merah,2026-08,1,50000,42129,57993,50000,naive
Bengkulu,Bawang Merah,2026-09,2,47200,42235,58285,50000,blend
Bengkulu,Bawang Merah,2026-10,3,45250,42041,56373,50000,blend
Bengkulu,Beras,2026-08,1,16100,16007,16269,16100,naive
Bengkulu,Beras,2026-09,2,16100,15938,16409,16100,naive
Bengkulu,Beras,2026-10,3,16100,15889,16495,16100,naive
Bengkulu,Cabai Besar,2026-08,1,46250,34639,56058,46250,naive
Bengkulu,Cabai Besar,2026-09,2,46250,28904,60966,46250,naive
Bengkulu,Cabai Besar,2026-10,3,51700,23755,68149,46250,blend
Bengkulu,Cabai Rawit,2026-08,1,47700,28488,60463,61250,blend
Bengkulu,Cabai Rawit,2026-09,2,44175,23338,58095,61250,blend
Bengkulu,Cabai Rawit,2026-10,3,46450,21178,62280,61250,blend
DI Yogyakarta,Bawang Merah,2026-08,1,49000,41286,56833,49000,naive
DI Yogyakarta,Bawang Merah,2026-09,2,45125,40378,55722,49000,blend
DI Yogyakarta,Bawang Merah,2026-10,3,43875,40764,54660,49000,blend
DI Yogyakarta,Beras,2026-08,1,15000,14914,15157,15000,naive
DI Yogyakarta,Beras,2026-09,2,15000,14849,15288,15000,naive
DI Yogyakarta,Beras,2026-10,3,15000,14803,15368,15000,naive
DI Yogyakarta,Cabai Besar,2026-08,1,39000,29209,47271,39000,naive
DI Yogyakarta,Cabai Besar,2026-09,2,39000,24373,51409,39000,naive
DI Yogyakarta,Cabai Besar,2026-10,3,42000,19298,55363,39000,blend
DI Yogyakarta,Cabai Rawit,2026-08,1,41500,24785,52604,46250,blend
DI Yogyakarta,Cabai Rawit,2026-09,2,36250,19151,47672,46250,blend
DI Yogyakarta,Cabai Rawit,2026-10,3,38750,17667,51956,46250,blend
DKI Jakarta,Bawang Merah,2026-08,1,49800,41961,57761,49800,naive
DKI Jakarta,Bawang Merah,2026-09,2,47725,42705,58933,49800,blend
DKI Jakarta,Bawang Merah,2026-10,3,45000,41809,56062,49800,blend
DKI Jakarta,Beras,2026-08,1,17000,16902,17178,17000,naive
