provinsi,cluster,beras,jagung,bawang,cabai_besar,cabai_rawit,kentang
Aceh,Surplus Moderat,517,36,-3,15,6,-1
Bali,Surplus Moderat,8,26,22,5,4,-1
Banten,Defisit Moderat,-100,-23,-34,2,8,-4
Bengkulu,Surplus Moderat,-10,57,-5,9,2,0
DI Yogyakarta,Surplus Moderat,-40,179,23,2,5,9
DKI Jakarta,Defisit Kritis,-844,-31,-30,-2,2,-3
Gorontalo,Surplus Moderat,34,622,-3,0,0,0
Jambi,Defisit Moderat,-132,0,2,8,6,0
Jawa Barat,Surplus Moderat,1000,420,56,52,53,-14
Jawa Tengah,Surplus Tinggi,2116,2318,500,12,21,16
Jawa Timur,Surplus Tinggi,2046,4476,357,21,21,48
Kalimantan Barat,Surplus Moderat,2,74,-16,6,3,-1
Kalimantan Selatan,Surplus Moderat,271,97,-12,3,0,0
Kalimantan Tengah,Surplus Moderat,-5,37,-8,2,1,-1
Kalimantan Timur,Defisit Moderat,-175,-8,-11,5,8,0
Kalimantan Utara,Defisit Moderat,-41,-1,-2,3,5,0
Kepulauan Bangka Belitung,Defisit Moderat,-75,-4,-4,1,1,0
Kepulauan Riau,Defisit Moderat,-173,-6,-6,3,4,-1
Lampung,Surplus Moderat,860,1081,-25,10,11,1
Maluku,Defisit Moderat,-103,2,-5,1,3,0
Maluku Utara,Defisit Moderat,-90,1,-3,3,2,0
Nusa Tenggara Barat,Surplus Moderat,381,1194,144,3,7,0
Nusa Tenggara Timur,Surplus Moderat,-33,277,-8,5,10,-1
Papua,Defisit Moderat,-278,-11,-14,5,10,1
Papua Barat,Defisit Moderat,-33,2,-1,1,1,0
Riau,Defisit Moderat,-405,-18,-19,8,11,0
Sulawesi Barat,Surplus Moderat,64,26,-3,2,2,0
Sulawesi Selatan,Surplus Tinggi,2016,1104,208,6,8,-2
Sulawesi Tengah,Surplus Moderat,203,76,-6,3,2,0
Sulawesi Tenggara,Surplus Moderat,98,71,-7,3,4,-1
Sulawesi Utara,Surplus Moderat,-60,105,-5,1,4,0
Sumatera Barat,Surplus Moderat,324,502,214,13,7,0
Sumatera Selatan,Surplus Moderat,972,314,-24,4,2,-1
Sumatera Utara,Surplus Moderat,32,1329,14,27,21,-2
