tanggal,kabkota,pasar,komoditas,harga
2023-03-22,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-23,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-24,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-25,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-26,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-27,Kota Surabaya,Pasar Genteng,beras,12500
2023-03-28,Kota Surabaya,Pasar Genteng,beras,0
2023-03-22,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-23,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-24,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-25,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-26,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-27,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-28,Kota Surabaya,Pasar Keputran,beras,12500
2023-03-22,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-23,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-24,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-25,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-26,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-27,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-28,Kota Surabaya,Pasar Pucang Anom,beras,12500
2023-03-22,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-23,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-24,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-25,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-26,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-27,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-28,Kota Surabaya,Pasar Soponyono,beras,12500
2023-03-22,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-23,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-24,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-25,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-26,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-27,Kota Surabaya,Pasar Tambahrejo,beras,12500
2023-03-28,Kota Surabaya,Pasar Tambahrejo,beras,0
2023-03-22,Kota Surabaya,Pasar Wonokromo,beras,12500
2023-03-23,Kota Surabaya,Pasar Wonokromo,beras,12500
2023-03-24,Kota Surabaya,Pasar Wonokromo,beras,12500
2023-03-25,Kota Surabaya,Pasar Wonokromo,beras,12500
