tanggal,kabkota,pasar,komoditas,harga
2026-08-16,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-17,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-18,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-19,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-20,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-21,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-22,Kota Surabaya,Pasar Genteng,beras,14500
2026-08-16,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-17,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-18,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-19,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-20,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-21,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-22,Kota Surabaya,Pasar Keputran,beras,16000
2026-08-16,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-17,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-18,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-19,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-20,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-21,Kota Surabaya,Pasar Pucang Anom,beras,16000
2026-08-22,Kota Surabaya,Pasar Pucang Anom,beras,17000
2026-08-16,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-17,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-18,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-19,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-20,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-21,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-22,Kota Surabaya,Pasar Soponyono,beras,15000
2026-08-16,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-17,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-18,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-19,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-20,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-21,Kota Surabaya,Pasar Tambahrejo,beras,16500
2026-08-22,Kota Surabaya,Pasar Tambahrejo,beras,0
2026-08-16,Kota Surabaya,Pasar Wonokromo,beras,15500
2026-08-17,Kota Surabaya,Pasar Wonokromo,beras,15500
2026-08-18,Kota Surabaya,Pasar Wonokromo,beras,15500
